순번,종목,1급 스포츠지도사(전문체육)_2024년,1급 스포츠지도사(전문체육)_2023년,1급 스포츠지도사(전문체육)_2022년 이전,2급 스포츠지도사(전문체육)_2024년,2급 스포츠지도사(전문체육)_2023년,2급 스포츠지도사(전문체육)_2022년 이전,1급 스포츠지도사(생활체육)_2024년,1급 스포츠지도사(생활체육)_2023년,1급 스포츠지도사(생활체육)_2022년 이전,2급 스포츠지도사(생활체육)_2024년,2급 스포츠지도사(생활체육)_2023년,2급 스포츠지도사(생활체육)_2022년 이전,건강운동관리사_2024년,건강운동관리사_2023년,건강운동관리사_2022년 이전,1급 장애인스포츠지도사_2024년,1급 장애인스포츠지도사_2023년,1급 장애인스포츠지도사_2022년 이전,2급 장애인스포츠지도사_2024년,2급 장애인스포츠지도사_2023년,2급 장애인스포츠지도사_2022년 이전,유소년스포츠지도사_2024년,유소년스포츠지도사_2023년,유소년스포츠지도사_2022년 이전,노인스포츠지도사_2024년,노인스포츠지도사_2023년,노인스포츠지도사_2022년 이전
81,로울러스케이팅,0,0,0,0,0,47,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,회전무술,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,국술,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,십팔기,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,킥복싱,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,격투기,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,태수도,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,유술,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,공권도,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,자전거,0,0,0,0,0,0,3,1,57,37,22,466,0,0,0,0,0,0,0,0,0,2,2,34,5,6,35
91,수중(핀수영),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,알파인스키,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
93,바이애슬론ㆍ크로스컨트리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
94,수중,0,1,4,4,6,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,주짓수,0,0,0,7,37,30,3,1,6,143,283,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,힙합,0,0,0,1,6,10,0,1,3,44,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,국학기공,0,0,0,0,0,0,0,0,0,20,31,42,0,0,0,0,0,0,0,0,0,0,0,0,22,15,43
98,치어리딩,0,0,0,0,0,0,15,11,55,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,플로어볼,0,0,0,0,0,0,14,28,30,19,29,34,0,0,0,0,0,0,0,0,0,2,8,7,0,0,0
